business_name,category,description,keyvals,product_link,product_name,regular_price,sale_price
tls,wine,,"{""Volume"": ""75cl."", ""ABV"": ""40%"", ""Type"": ""Single Malt Scotch Whisky"", ""Age"": ""28"", ""With Box"": ""Yes""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/aberfeldy-28-years-70cl,Aberfeldy 28 Years old 70cl,[650.0],[650.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Lagavulin 12 Years old 2019 Special Release"", ""Volumn:"": ""700ml"", ""Alcohol Percentage:"": ""56.5%"", ""Type:"": ""Single Malt Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/lagavulin-12-years-2019-special-release,Lagavulin 12 Years 2019 Special Release,[350.0],[400.0]
tls,wine,,"{""Volume"": ""70cl"", ""ABV"": ""43%"", ""Type"": ""Single Malt\u00a0Whisky"", ""Age"": ""-"", ""With Box"": ""Yes""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/macallan-sienna,Macallan Sienna,[242.0],[270.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Bulleit 10 Years Old Small Batch Bourbon Whisky"", ""Volumn:"": ""750ml"", ""Alcohol Percentage:"": ""45.6%"", ""Type:"": ""Bourbon Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/bulleit-10-years-old-small-batch-bourbon-whisky-70cl,Bulleit 10 Years Old Bourbon Whisky 75cl,[109.8],[118.0]
tls,wine,,,https://www.theliquorshop.com.sg/collections/whisky-singapore/products/aberlour-18-years-old,Aberlour 18 Years Old Single Malt Scotch Whisky 50cl,[279.9],[288.0]
tls,wine,,"{""Volume"": ""100cl"", ""ABV"": ""40%"", ""Type"": ""Single Malt\u00a0Whisky"", ""Age"": ""NAS"", ""With Box"": ""Yes, box a little scratch""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/macallan-select-oak,Macallan Select Oak 1L (Box and Label a Little Scratch),[192.0],[192.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Lagavulin 16 Years old"", ""Volumn:"": ""700ml"", ""Alcohol Percentage:"": ""43%"", ""Type:"": ""Single Malt Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/lagavulin-16-years-old-70cl-1,Lagavulin 16 Years old 70cl,[114.85],[121.0]
tls,wine,,"{""What You Will Get:"": ""2 bottle of Johnnie Walker XR 21 Years Old 75cl (Ruyi)"", ""Volumn:"": ""750ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/john-walker-sons-xr-21-75cl-ruyi-x-2-bottles-with-gift,John Walker & Sons XR 21 75cl (Ruyi) X 2 Bottles with Gift,[359.9],[420.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Bulleit Rye\u00a0Whisky"", ""Volume:"": ""700ml"", ""Alcohol Percentage:"": ""45%"", ""Type:"": ""Bourbon Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/bulleit-rye-whisky-70cl,Bulleit Rye Whisky 70cl,[88.0],[118.0]
tls,wine,,"{""Volume"": ""70 cl"", ""ABV"": ""40%"", ""Type"": ""Single Malt whisky"", ""Age"": ""10"", ""With Box"": ""Yes""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/glengoyne-10-years,Glengoyne 10 Years Old,[102.0],[140.0]
